lsoacode,population_21
E01011911,1649
E01011912,1902
E01011913,2014
E01011914,1632
E01011915,1677
E01011917,1740
E01011918,2437
E01011919,1914
E01011920,2842
E01011921,1488
E01011922,1389
E01011923,1660
E01011924,1721
E01011925,1818
E01011926,1742
E01011927,1470
E01011928,1334
E01011929,2187
E01011930,1626
E01011931,1360
E01011932,1379
E01011933,1589
E01011934,1586
E01011935,2055
E01011936,1568
E01011937,1291
E01011938,1633
E01011939,1443
E01011940,1646
E01011941,1554
E01011942,1276
E01011943,2151
E01011944,1423
E01011945,1461
E01011946,1438
E01011947,1517
E01011948,1621
E01034260,1386
E01034261,1232
E01034262,1334
E01034263,1526
E01034264,1349
E01034265,1217
E01034266,1659
E01034267,1371
E01034268,1299
E01034269,1590
E01034270,1685
E01008162,2233
E01008163,2071
E01008164,1490
E01008165,1467
E01008166,1606
E01008167,1527
E01008170,1759
E01008172,1745
E01008173,1502
E01008174,2121
E01008175,1437
E01008176,1498
E01008177,1296
E01008178,1579
E01008179,1102
E01008180,1362
E01008181,1532
E01008182,1704
E01008183,1430
E01008184,1348
E01008185,1393
E01008186,1776
E01008188,1332
E01008189,1233
E01008190,1334
E01008191,1400
E01008192,1383
E01008193,1296
E01008194,1304
E01008195,1980
E01008196,2133
E01008197,1723
E01008198,1612
E01008199,1295
E01008200,1399
E01008201,1609
E01008202,1699
E01008203,1610
E01008204,1496
E01008205,1495
E01008206,1624
E01008207,1302
E01008208,1620
E01008209,1924
E01008210,1379
E01008211,1662
E01008212,1218
E01008213,1457
E01008214,1826
E01008215,1500
E01008216,1431
E01008217,1431
E01008218,1562
E01008219,1657
E01008220,1234
E01008221,1835
E01008222,1627
E01008223,1867
E01008224,2686
E01008225,1580
E01008226,1796
E01008227,1705
E01008228,1142
E01008229,1233
E01008230,1347
E01008231,1506
E01008232,1390
E01008233,1185
E01008234,2077
E01008235,1365
E01008236,1451
E01008237,1580
E01008238,1455
E01008239,1544
E01008240,1524
E01008241,1594
E01008242,1601
E01008243,1529
E01008244,1861
E01008245,1313
E01008246,1382
E01008247,1537
E01008248,2676
E01008249,1501
E01008250,1428
E01008251,1770
E01008252,1606
E01008253,1433
E01008254,1475
E01008255,2189
E01008256,1633
E01008257,1460
E01008258,2297
E01008259,2041
E01008260,1520
E01008261,1377
E01008262,1573
E01008263,1394
E01008264,1448
E01008265,1335
E01008266,1253
E01008267,1479
E01008268,1385
E01008269,1464
E01008270,1267
E01008271,1335
E01008272,1605
E01008273,1387
E01008274,1309
E01008275,1409
E01008276,1419
E01008277,1511
E01008278,1501
E01008279,1362
E01008280,1866
E01008281,1596
E01008282,1367
E01008283,1208
E01008284,1351
E01008285,1369
E01008286,1317
E01008287,1845
E01035610,2770
E01035611,1056
E01035612,1214
E01035624,1528
E01000001,1573
E01000002,1407
E01000003,1610
E01000005,1104
E01032739,1633
E01032740,1362
E01000006,1829
E01000007,2841
E01000008,1747
E01000009,1795
E01000011,1666
E01000012,2333
E01000013,1837
E01000014,1762
E01000015,2404
E01000016,1819
E01000017,1729
E01000018,1759
E01000019,1643
E01000020,2183
E01000021,1671
E01000022,1449
E01000024,1502
E01000025,1942
E01000027,2062
E01000028,1852
E01000029,1864
E01000030,2588
E01000031,1797
E01000032,2043
E01000033,1548
E01000034,1606
E01000035,1850
E01000036,1434
E01000037,1738
E01000038,1632
E01000039,1791
E01000040,1887
E01000041,1797
E01000042,1863
E01000043,1562
E01000044,1964
E01000045,1729
E01000046,1929
E01000049,1939
E01000050,1841
E01000051,1091
E01000052,2367
E01000053,1650
E01000054,1871
E01000055,1682
E01000056,1677
E01000057,1572
E01000058,2156
E01000059,1719
E01000060,2169
E01000061,1930
E01000062,2226
E01000063,1785
E01000064,2310
E01000065,1990
E01000066,2482
E01000067,2267
E01000068,1785
E01000069,2141
E01000070,2073
E01000071,2595
E01000072,2142
E01000073,1853
E01000074,1760
E01000075,2095
E01000076,2175
E01000077,1713
E01000078,1932
E01000079,1722
E01000080,1755
E01000081,1965
E01000082,1902
E01000083,1930
E01000084,1411
E01000085,1638
E01000086,1468
E01000087,1635
E01000088,2011
E01000089,1792
E01000090,1676
E01000091,2088
E01000093,1787
E01000094,2460
E01000095,2229
E01000096,1672
E01000097,1926
E01000098,1936
E01000099,2761
E01000100,1949
E01000101,1697
E01000102,1822
E01000103,1788
E01000104,1893
E01000105,2303
E01000106,2234
E01000107,1809
E01000108,1952
E01000110,1597
E01000111,2178
E01000112,1994
E01000113,1979
E01000114,2394
E01032580,1576
E01033587,2445
E01034469,1762
E01034470,1483
E01034471,2642
E01034472,1879
E01034473,1294
E01034474,2227
E01034475,1832
E01034476,1800
E01034477,1573
E01034478,1208
E01034479,2205
E01000115,1395
E01000116,1719
E01000117,1750
E01000118,2070
E01000119,1777
E01000120,1493
E01000121,1472
E01000122,1527
E01000123,1757
E01000124,1875
E01000126,2239
E01000127,1565
E01000128,2047
E01000129,1589
E01000130,1916
E01000131,2001
E01000132,1596
E01000133,1659
E01000134,1827
E01000135,1706
E01000136,1454
E01000137,1657
E01000138,1600
E01000139,1403
E01000140,1912
E01000141,1861
E01000142,2187
E01000143,1675
E01000144,1656
E01000145,1625
E01000146,1859
E01000147,1953
E01000150,2246
E01000151,1720
E01000152,2681
E01000153,1898
E01000154,1892
E01000156,2021
E01000157,1585
E01000158,1482
E01000159,1771
E01000160,1921
E01000161,2012
E01000162,1672
E01000163,1654
E01000164,1716
E01000165,1769
E01000166,1652
E01000167,1376
E01000168,1499
E01000169,1611
E01000170,1899
