LSOA11CD,alcohol_related,community,education,entertainment,financial,food_related,healthcare,leisure,other,parking_related,police_related,religion,residential,retail,transport,urban_utilities
E01001398,0,0,0,0,0,0,0,0,1,0,0,1,123,0,0,2
E01001399,1,0,3,0,0,1,0,2,5,3,0,1,136,0,0,8
E01001400,0,1,1,0,0,0,1,0,5,2,0,0,167,0,0,0
E01001401,0,0,0,0,0,0,2,0,1,2,0,0,25,0,0,0
E01001402,1,1,0,0,0,9,2,0,25,8,0,0,11,2,0,0
E01001403,1,0,0,0,0,0,0,2,10,0,0,0,45,0,0,20
E01001404,0,0,1,0,0,0,0,0,11,0,0,0,26,0,0,0
E01001405,0,0,0,0,0,0,0,0,6,0,0,0,52,0,0,2
E01001406,1,1,0,0,1,4,2,1,10,4,0,1,71,7,0,5
E01001407,1,1,3,0,0,1,0,4,24,5,0,1,136,0,0,57
E01001408,1,0,1,0,0,1,0,0,9,1,0,1,115,2,0,0
E01001409,0,0,0,0,0,0,0,0,1,1,0,0,121,0,1,0
E01001410,0,2,0,0,0,0,0,4,0,4,0,0,89,0,0,2
E01001411,0,1,0,0,0,10,0,0,24,9,0,2,152,5,0,0
E01001412,4,0,7,1,0,3,0,5,74,39,0,2,247,0,0,45
E01001413,1,0,0,0,0,0,0,2,3,1,0,1,290,0,0,13
E01001414,0,0,0,0,0,0,0,2,2,8,0,0,78,0,0,0
E01001415,0,3,1,0,10,30,6,2,108,32,0,2,70,31,0,45
E01001416,0,0,0,0,0,0,0,0,7,2,0,2,84,1,0,4
E01001417,0,1,1,0,0,3,0,6,59,17,0,0,24,1,0,89
E01001418,0,0,2,0,0,2,1,0,14,12,0,1,211,1,0,2
E01001419,1,2,1,0,3,12,1,0,66,13,0,1,81,5,0,8
E01001420,0,1,2,1,0,1,1,4,14,23,0,0,25,0,0,9
E01001421,0,0,1,0,0,0,0,0,6,2,0,0,81,1,0,0
E01001422,0,1,0,0,0,1,2,0,73,5,0,1,10,1,0,3
E01001423,1,0,2,0,0,1,0,0,5,4,0,1,16,0,0,1
E01001424,0,1,0,0,0,0,0,1,0,0,0,0,30,0,0,0
E01001425,1,0,0,1,0,1,0,2,20,9,0,2,10,0,0,66
E01001426,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
E01001427,0,0,0,1,0,0,0,8,8,10,0,0,13,0,0,1
E01001428,1,1,0,0,1,1,1,0,1,2,0,0,14,1,0,0
E01001429,1,3,0,0,0,10,3,3,16,21,1,2,0,7,1,8
E01001430,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0
E01001431,0,0,0,0,0,0,0,1,2,3,0,0,14,0,0,0
E01001432,0,0,0,0,0,0,0,0,4,10,0,1,0,0,0,2
E01001433,0,1,0,0,0,0,0,0,2,2,0,0,115,0,0,0
E01001434,0,0,0,0,0,0,0,0,1,6,0,0,119,0,0,0
E01001435,0,0,0,0,0,0,0,0,1,0,0,0,96,0,0,0
E01001436,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,1
E01001437,0,0,1,1,0,1,0,3,20,12,0,0,122,2,0,26
E01001438,0,0,0,0,0,1,0,0,7,6,0,0,164,0,0,2
E01001439,2,4,1,0,2,30,3,1,99,23,0,0,138,24,0,0
E01001440,2,2,2,0,0,4,0,4,25,7,0,1,114,0,0,10
E01001441,0,0,2,0,0,4,4,5,27,4,0,0,110,2,0,3
E01001442,2,1,0,0,0,10,4,0,58,7,0,1,70,2,0,4
E01001444,0,0,0,0,0,0,0,3,1,4,0,0,240,0,0,0
E01001445,1,1,3,0,0,2,0,3,10,24,0,0,198,1,0,16
E01001446,0,0,0,0,0,0,0,0,3,3,0,1,206,0,0,0
E01001447,0,0,0,0,0,0,0,1,1,1,0,1,235,1,0,2
E01001448,0,0,3,0,0,0,0,0,0,1,0,1,189,0,0,0
E01001449,1,0,0,0,0,0,0,2,1,0,0,0,313,1,0,4
E01001450,1,0,2,2,4,17,1,1,46,24,0,3,93,13,0,11
E01001451,0,1,0,0,0,2,2,3,17,1,0,2,257,3,0,52
E01001452,0,0,0,0,0,0,0,0,12,2,0,0,97,0,0,3
E01001453,0,0,0,0,0,0,0,1,5,0,0,0,30,0,0,1
E01001454,1,2,1,0,0,4,0,0,16,4,0,2,2,2,0,15
E01001455,0,1,0,0,0,2,0,1,2,100,0,0,150,1,0,1
E01001456,0,0,0,0,0,0,0,0,8,1,0,0,34,1,0,0
E01001457,0,0,0,0,0,2,0,2,6,8,0,1,141,4,0,18
E01001458,0,2,0,2,1,0,0,1,1,2,0,0,64,1,0,2
E01001459,0,1,1,0,0,0,0,2,2,4,0,0,8,0,0,8
